DAY_OF_WEEK,SCHEDULED_DEP_HOUR,nb_vols,nb_retards,retard_moyen_arrivee,retard_moyen_depart,distance_moyenne,taux_retard_percent
1,0,2371,440,3.31,9.0,1544.65,18.56
1,1,763,148,7.77,12.31,1613.21,19.4
1,2,216,41,1.2,6.86,1376.39,18.98
1,3,134,24,5.93,11.97,1212.92,17.91
1,4,82,19,4.94,10.74,1215.01,23.17
1,5,18790,1334,-3.26,2.43,670.64,7.1
1,6,62001,5850,-1.46,3.11,769.21,9.44
1,7,58970,6990,-0.21,4.41,886.25,11.85
1,8,55964,7667,1.36,6.24,892.27,13.7
1,9,51588,7875,2.63,7.41,869.86,15.27
1,10,54952,8807,3.52,8.43,806.65,16.03
1,11,52563,9065,4.37,9.42,817.95,17.25
1,12,51981,9673,5.35,10.41,786.22,18.61
1,13,53458,10689,6.79,11.32,789.58,20.0
1,14,48531,10402,7.79,12.36,787.15,21.43
1,15,54198,12180,8.92,13.48,767.51,22.47
1,16,49522,11610,9.6,14.25,785.03,23.44
1,17,58449,14460,10.55,14.97,814.74,24.74
1,18,49968,12998,11.11,15.77,814.6,26.01
1,19,49898,13176,11.42,15.95,765.56,26.41
1,20,38853,10460,11.33,16.52,748.6,26.92
1,21,28308,6917,8.79,14.08,776.13,24.43
1,22,17689,4214,7.65,12.71,939.85,23.82
1,23,6294,1227,3.75,9.67,1666.15,19.49
2,0,1963,301,0.46,7.19,1624.65,15.33
2,1,704,144,3.67,8.0,1612.05,20.45
2,2,207,43,0.6,5.51,1391.0,20.77
2,3,111,16,0.23,6.17,1221.23,14.41
2,4,60,13,3.93,9.22,1273.23,21.67
2,5,18634,1273,-3.73,1.84,666.48,6.83
2,6,61022,5356,-2.35,1.89,763.3,8.78
2,7,58154,6457,-1.13,3.22,883.28,11.1
2,8,55257,7132,0.45,5.05,888.17,12.91
2,9,50669,7047,0.99,5.63,867.01,13.91
2,10,53322,8399,2.38,7.02,800.33,15.75
2,11,51021,8313,2.98,7.88,815.01,16.29
2,12,51044,8790,3.84,8.96,783.21,17.22
2,13,52379,9727,4.56,9.26,788.86,18.57
2,14,47785,9706,6.12,10.77,783.58,20.31
2,15,53134,10984,6.74,11.39,760.98,20.67
2,16,48447,10748,7.8,12.42,770.82,22.19
2,17,56877,13414,8.82,13.4,804.47,23.58
2,18,48641,11772,8.83,14.08,805.94,24.2
2,19,48218,11859,9.1,14.21,757.47,24.59
2,20,37386,9087,8.45,14.21,737.96,24.31
2,21,27349,6091,6.66,12.41,755.34,22.27
2,22,16567,3540,5.32,11.25,931.8,21.37
2,23,5649,971,2.69,9.53,1632.91,17.19
3,0,1916,281,-0.32,6.38,1608.28,14.67
3,1,686,121,4.76,9.06,1605.62,17.64
3,2,156,25,-1.15,4.88,1378.84,16.03
3,3,89,15,0.42,7.55,1189.25,16.85
3,4,75,15,1.53,7.64,1199.83,20.0
3,5,18809,1395,-3.69,1.67,667.13,7.42
3,6,61033,5553,-2.5,1.78,761.75,9.1
3,7,58298,6597,-1.46,2.77,883.79,11.32
3,8,55388,7049,-0.29,4.01,886.25,12.73
3,9,51313,7298,1.17,5.51,865.8,14.22
3,10,54003,8186,1.95,6.55,801.01,15.16
3,11,51888,8292,2.78,7.58,817.63,15.98
3,12,51496,8633,3.2,8.35,784.95,16.76
3,13,52692,9609,4.37,9.2,788.88,18.24
3,14,48085,9460,5.25,10.13,785.25,19.67
3,15,53631,11270,6.56,11.13,766.59,21.01
3,16,49087,11007,7.57,11.92,777.61,22.42
3,17,57799,13802,8.21,12.76,810.97,23.88
3,18,49785,12365,8.57,13.52,812.68,24.84
3,19,49412,12269,8.66,13.64,761.75,24.83
3,20,38316,9274,7.58,13.15,742.5,24.2
3,21,28070,6192,6.06,11.86,764.17,22.06
3,22,17731,3862,4.96,10.41,920.2,21.78
3,23,6139,1034,0.86,7.63,1666.41,16.84
4,0,2136,277,-1.8,5.3,1619.3,12.97
4,1,735,125,0.29,5.97,1606.88,17.01
4,2,208,27,1.48,5.59,1403.88,12.98
4,3,104,21,0.86,8.88,1188.4,20.19
4,4,65,11,-0.02,8.34,1269.14,16.92
4,5,18868,1208,-4.59,0.89,667.04,6.4
4,6,62268,5262,-2.87,1.44,768.62,8.45
4,7,59625,6752,-1.15,2.82,886.27,11.32
4,8,56805,7449,0.44,4.5,890.63,13.11
4,9,52623,7696,1.81,5.5,869.85,14.62
4,10,55589,8733,2.79,6.79,807.45,15.71
4,11,53418,9005,3.3,7.53,817.77,16.86
4,12,52551,9490,4.41,8.93,787.07,18.06
4,13,54097,10879,6.35,10.43,790.99,20.11
4,14,48930,10744,7.49,11.64,789.23,21.96
4,15,54469,12421,8.42,12.69,769.39,22.8
4,16,49579,12546,10.31,14.32,785.35,25.31
4,17,58487,15744,11.4,15.3,817.83,26.92
4,18,49962,14182,12.41,16.69,819.33,28.39
4,19,49934,14430,12.72,16.68,770.33,28.9
4,20,38851,11311,12.24,16.99,754.17,29.11
4,21,28479,7378,9.3,14.58,786.2,25.91
4,22,17977,4630,8.41,13.49,950.24,25.76
4,23,6761,1371,3.5,10.12,1667.99,20.28
5,0,2220,391,2.37,8.51,1610.1,17.61
5,1,761,133,2.71,6.27,1607.07,17.48
