ORIGIN_AIRPORT,nb_vols,nb_retards,retard_moyen_arrivee,retard_moyen_depart,distance_moyenne,taux_retard_percent,AIRPORT_NAME,CITY,STATE,LATITUDE,LONGITUDE,AIRPORT_LABEL
ABE,2274,401,6.12,8.7,597.46,17.63,Lehigh Valley International Airport,Allentown,PA,40.65236,-75.4404,Lehigh Valley International Airport
ABI,2329,358,3.13,5.55,158.0,15.37,Abilene Regional Airport,Abilene,TX,32.41132,-99.6819,Abilene Regional Airport
ABQ,19192,3417,4.7,8.78,706.95,17.8,Albuquerque International Sunport,Albuquerque,NM,35.04022,-106.60919,Albuquerque International Sunport
ABR,671,122,9.79,9.98,257.0,18.18,Aberdeen Regional Airport,Aberdeen,SD,45.44906,-98.42183,Aberdeen Regional Airport
ABY,876,158,7.5,8.79,145.0,18.04,Southwest Georgia Regional Airport,Albany,GA,31.53552,-84.19447,Southwest Georgia Regional Airport
ACK,492,96,9.34,16.19,190.26,19.51,Nantucket Memorial Airport,Nantucket,MA,41.25305,-70.06018,Nantucket Memorial Airport
ACT,1612,266,4.44,7.29,89.0,16.5,Waco Regional Airport,Waco,TX,31.61129,-97.23052,Waco Regional Airport
ACV,1320,290,7.53,11.56,250.0,21.97,Arcata Airport,Arcata/Eureka,CA,40.97812,-124.10862,Arcata Airport
ACY,3572,785,8.62,9.84,813.26,21.98,Atlantic City International Airport,Atlantic City,NJ,39.45758,-74.57717,Atlantic City International Airport
ADK,96,37,10.11,9.89,1192.0,38.54,Adak Airport,Adak,AK,51.87796,-176.64603,Adak Airport
ADQ,460,57,1.8,0.38,253.0,12.39,Kodiak Airport,Kodiak,AK,57.74997,-152.49386,Kodiak Airport
AEX,3146,603,8.68,8.88,341.3,19.17,Alexandria International Airport,Alexandria,LA,31.32737,-92.54856,Alexandria International Airport
AGS,2361,470,8.4,8.44,143.23,19.91,Augusta Regional Airport (Bush Field),Augusta,GA,33.36996,-81.9645,Augusta Regional Airport (Bush Field)
AKN,63,14,4.35,2.68,288.0,22.22,King Salmon Airport,King Salmon,AK,58.6768,-156.64922,King Salmon Airport
ALB,7459,1009,-1.83,6.71,743.19,13.53,Albany International Airport,Albany,NY,42.74812,-73.80298,Albany International Airport
ALO,617,101,1.09,5.28,234.0,16.37,Waterloo Regional Airport,Waterloo,IA,42.55708,-92.40034,Waterloo Regional Airport
AMA,4214,744,6.2,6.95,400.54,17.66,Rick Husband Amarillo International Airport,Amarillo,TX,35.21937,-101.70593,Rick Husband Amarillo International Airport
ANC,16005,1988,-0.38,3.39,1397.85,12.42,Ted Stevens Anchorage International Airport,Anchorage,AK,61.17432,-149.99619,Ted Stevens Anchorage International Airport
APN,573,74,1.69,4.73,198.0,12.91,Alpena County Regional Airport,Alpena,MI,45.07807,-83.56029,Alpena County Regional Airport
ASE,3562,968,14.19,16.24,637.57,27.18,Aspen-Pitkin County Airport,Aspen,CO,39.22316,-106.86885,Aspen-Pitkin County Airport
ATL,346836,56462,3.02,9.27,639.99,16.28,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,33.64044,-84.42694,Hartsfield-Jackson Atlanta International Airport
ATW,2848,525,5.48,5.51,285.05,18.43,Appleton International Airport,Appleton,WI,44.25741,-88.51948,Appleton International Airport
AUS,42067,7153,4.93,10.08,821.95,17.0,Austin-Bergstrom International Airport,Austin,TX,30.19453,-97.66987,Austin-Bergstrom International Airport
AVL,2745,455,5.93,9.06,287.46,16.58,Asheville Regional Airport,Asheville,NC,35.43619,-82.54181,Asheville Regional Airport
AVP,1359,240,6.35,8.78,550.08,17.66,Wilkes-Barre/Scranton International Airport,Wilkes-Barre/Scranton,PA,41.33815,-75.72427,Wilkes-Barre/Scranton International Airport
AZO,1845,295,0.69,3.36,143.77,15.99,Kalamazoo/Battle Creek International Airport,Kalamazoo,MI,42.23488,-85.55206,Kalamazoo/Battle Creek International Airport
BDL,18799,2909,0.74,7.46,839.84,15.47,Bradley International Airport,Windsor Locks,CT,41.93887,-72.68323,Bradley International Airport
BET,896,124,3.68,1.76,399.0,13.84,Bethel Airport,Bethel,AK,60.77978,-161.838,Bethel Airport
BFL,2637,402,3.44,5.74,662.49,15.24,Meadows Field,Bakersfield,CA,35.4336,-119.05677,Meadows Field
BGM,262,40,5.83,10.49,378.0,15.27,Greater Binghamton Airport,Binghamton,NY,42.20848,-75.97961,Greater Binghamton Airport
BGR,366,46,2.19,5.84,696.13,12.57,Bangor International Airport,Bangor,ME,44.80744,-68.82814,Bangor International Airport
BHM,12514,2128,4.42,8.91,514.99,17.0,Birmingham-Shuttlesworth International Airport,Birmingham,AL,33.56294,-86.75355,Birmingham-Shuttlesworth International Airport
BIL,2866,295,-2.29,1.49,506.14,10.29,Billings Logan International Airport,Billings,MT,45.80766,-108.54286,Billings Logan International Airport
BIS,3453,589,4.89,6.97,523.16,17.06,Bismarck Municipal Airport,Bismarck,ND,46.77411,-100.74672,Bismarck Municipal Airport
BJI,667,75,1.03,5.41,199.0,11.24,Bemidji Regional Airport,Bemidji,MN,47.50942,-94.93372,Bemidji Regional Airport
BLI,711,72,-1.4,-0.06,1255.03,10.13,Bellingham International Airport,Bellingham,WA,48.79275,-122.53753,Bellingham International Airport
BMI,2730,494,5.74,6.46,414.5,18.1,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,IL,40.47799,-88.91595,Central Illinois Regional Airport at Bloomington-Normal
BNA,47580,8427,4.46,9.57,658.6,17.71,Nashville International Airport,Nashville,TN,36.12448,-86.67818,Nashville International Airport
BOI,11655,1937,5.83,8.58,635.1,16.62,Boise Airport (Boise Air Terminal),Boise,ID,43.56444,-116.22278,Boise Airport (Boise Air Terminal)
BOS,107847,21363,4.17,9.38,977.31,19.81,Gen. Edward Lawrence Logan International Airport,Boston,MA,42.36435,-71.00518,Gen. Edward Lawrence Logan International Airport
BPT,973,235,15.03,15.94,270.0,24.15,Jack Brooks Regional Airport (Southeast Texas Regional),Beaumont/Port Arthur,TX,29.95083,-94.02069,Jack Brooks Regional Airport (Southeast Texas Regional)
BQK,878,150,4.79,8.2,238.0,17.08,Brunswick Golden Isles Airport,Brunswick,GA,31.25903,-81.46631,Brunswick Golden Isles Airport
BQN,1343,265,4.34,12.27,1358.66,19.73,Rafael Hernández Airport,Aguadilla,PR,18.49486,-67.12944,Rafael Hernández Airport
BRD,589,99,-1.25,-0.06,114.13,16.81,Brainerd Lakes Regional Airport,Brainerd,MN,46.39786,-94.13723,Brainerd Lakes Regional Airport
BRO,2362,310,2.21,4.84,386.01,13.12,Brownsville/South Padre Island International Airport,Brownsville,TX,25.90683,-97.42586,Brownsville/South Padre Island International Airport
BRW,855,129,1.85,1.59,523.11,15.09,Wiley Post-Will Rogers Memorial Airport,Barrow,AK,71.28545,-156.766,Wiley Post-Will Rogers Memorial Airport
BTM,667,42,-5.91,0.66,358.0,6.3,Bert Mooney Airport,Butte,MT,45.9548,-112.49746,Bert Mooney Airport
BTR,7166,1557,10.92,10.77,363.75,21.73,Baton Rouge Metropolitan Airport,Baton Rouge,LA,30.53316,-91.14963,Baton Rouge Metropolitan Airport
BTV,2978,610,5.72,9.41,473.89,20.48,Burlington International Airport,Burlington,VT,44.473,-73.15031,Burlington International Airport
BUF,16824,2530,0.29,7.02,602.9,15.04,Buffalo Niagara International Airport,Buffalo,NY,42.94052,-78.73217,Buffalo Niagara International Airport
BUR,18889,2693,3.08,5.93,454.51,14.26,Bob Hope Airport (Hollywood Burbank Airport),Burbank,CA,34.20062,-118.3585,Bob Hope Airport (Hollywood Burbank Airport)
BWI,86079,19049,7.1,13.11,766.27,22.13,Baltimore-Washington International Airport,Baltimore,MD,39.1754,-76.6682,Baltimore-Washington International Airport
BZN,3604,496,1.76,5.9,672.89,13.76,Bozeman Yellowstone International Airport (Gallatin Field Airport),Bozeman,MT,45.7769,-111.15301,Bozeman Yellowstone International Airport (Gallatin Field Airport)
CAE,5151,959,7.51,10.1,464.96,18.62,Columbia Metropolitan Airport,Columbia,SC,33.93884,-81.11954,Columbia Metropolitan Airport
CAK,6100,829,-0.06,6.06,562.99,13.59,Akron-Canton Regional Airport,Akron,OH,40.91631,-81.44247,Akron-Canton Regional Airport
CDC,573,63,1.0,3.16,221.0,10.99,Cedar City Regional Airport,Cedar City,UT,37.70097,-113.09858,Cedar City Regional Airport
CDV,662,101,-1.58,-3.22,186.5,15.26,Merle K. (Mudhole) Smith Airport,Cordova,AK,60.49183,-145.47765,Merle K. (Mudhole) Smith Airport
CEC,190,42,8.73,15.95,304.0,22.11,Del Norte County Airport (Jack McNamara Field),Crescent City,CA,41.78016,-124.23653,Del Norte County Airport (Jack McNamara Field)
CHA,4202,753,5.62,7.96,276.15,17.92,Chattanooga Metropolitan Airport (Lovell Field),Chattanooga,TN,35.03527,-85.20379,Chattanooga Metropolitan Airport (Lovell Field)
CHO,2204,422,8.87,12.24,472.98,19.15,Charlottesville-Albemarle Airport,Charlottesville,VA,38.13864,-78.45286,Charlottesville-Albemarle Airport
CHS,11817,1929,3.77,8.36,549.81,16.32,Charleston International Airport/Charleston AFB,Charleston,SC,32.89865,-80.04051,Charleston International Airport/Charleston AFB
CID,6832,1402,8.4,9.51,419.23,20.52,The Eastern Iowa Airport,Cedar Rapids,IA,41.88459,-91.71087,The Eastern Iowa Airport
CIU,613,99,8.43,10.47,284.0,16.15,Chippewa County International Airport,Sault Ste. Marie,MI,46.25075,-84.47239,Chippewa County International Airport
CLD,641,101,5.13,5.24,86.0,15.76,McClellan-Palomar Airport,San Diego,CA,33.12723,-117.27873,McClellan-Palomar Airport
CLE,34589,5790,2.96,8.32,697.54,16.74,Cleveland Hopkins International Airport,Cleveland,OH,41.41089,-81.8494,Cleveland Hopkins International Airport
CLL,2311,286,2.67,2.74,136.47,12.38,Easterwood Airport,College Station,TX,30.58859,-96.36382,Easterwood Airport
CLT,100324,20623,5.78,8.35,728.91,20.56,Charlotte Douglas International Airport,Charlotte,NC,35.21401,-80.94313,Charlotte Douglas International Airport
