DESTINATION_AIRPORT,nb_vols,nb_retards,retard_moyen_arrivee,retard_moyen_depart,distance_moyenne,taux_retard_percent,AIRPORT_NAME,CITY,STATE,LATITUDE,LONGITUDE,AIRPORT_LABEL
10135,238,32,1.17,4.01,597.17,13.45,,,,,,10135
10136,201,20,1.18,5.04,158.0,9.95,,,,,,10136
10140,1815,258,1.63,5.98,730.39,14.21,,,,,,10140
10141,71,11,-1.89,4.11,257.0,15.49,,,,,,10141
10146,87,21,7.13,7.71,145.0,24.14,,,,,,10146
10154,28,5,6.75,7.29,172.0,17.86,,,,,,10154
10155,148,13,-1.93,-0.61,89.0,8.78,,,,,,10155
10157,122,29,9.1,7.71,250.0,23.77,,,,,,10157
10158,248,37,3.55,3.87,837.25,14.92,,,,,,10158
10165,9,1,-15.78,-9.78,1192.0,11.11,,,,,,10165
10170,31,4,0.52,-0.35,253.0,12.9,,,,,,10170
10185,282,49,6.07,6.92,341.33,17.38,,,,,,10185
10208,222,25,0.09,4.09,143.0,11.26,,,,,,10208
10257,733,88,-1.46,5.12,689.13,12.01,,,,,,10257
10268,56,4,-7.82,-1.25,234.0,7.14,,,,,,10268
10279,307,40,1.56,3.54,425.12,13.03,,,,,,10279
10299,1232,177,-0.28,3.31,1315.42,14.37,,,,,,10299
10333,53,3,-6.02,-0.55,198.0,5.66,,,,,,10333
10372,59,6,4.8,4.56,373.95,10.17,,,,,,10372
10397,32594,3098,-2.22,3.78,639.43,9.5,,,,,,10397
10408,260,34,0.19,1.01,272.43,13.08,,,,,,10408
10423,4014,566,2.27,7.32,796.48,14.1,,,,,,10423
10431,283,55,7.09,9.84,337.4,19.43,,,,,,10431
10434,113,13,-0.78,2.06,592.12,11.5,,,,,,10434
10469,121,8,-9.97,1.02,121.85,6.61,,,,,,10469
10529,1715,213,-0.7,5.95,815.18,12.42,,,,,,10529
10551,84,8,-0.9,0.8,399.0,9.52,,,,,,10551
10561,183,21,-2.13,0.83,492.46,11.48,,,,,,10561
10577,61,7,-0.93,4.13,378.0,11.48,,,,,,10577
10581,26,6,8.19,10.27,707.08,23.08,,,,,,10581
10599,1146,152,1.38,6.24,509.4,13.26,,,,,,10599
10620,263,14,-5.21,0.08,501.32,5.32,,,,,,10620
10627,340,29,-3.85,1.43,513.56,8.53,,,,,,10627
10631,62,4,-1.11,0.27,199.0,6.45,,,,,,10631
10666,1,0,-6.0,-3.0,93.0,0.0,,,,,,10666
10685,238,19,-5.89,2.54,419.05,7.98,,,,,,10685
10693,4479,521,-0.8,5.61,664.66,11.63,,,,,,10693
10713,1163,151,0.82,4.98,631.13,12.98,,,,,,10713
10721,10161,1471,0.34,6.32,970.4,14.48,,,,,,10721
10728,87,13,4.25,4.41,270.0,14.94,,,,,,10728
10731,85,19,7.73,11.84,238.0,22.35,,,,,,10731
10732,98,22,6.41,11.16,1353.17,22.45,,,,,,10732
10739,53,4,-6.42,0.43,114.0,7.55,,,,,,10739
10747,203,19,-0.48,2.21,386.86,9.36,,,,,,10747
10754,81,10,-1.37,-3.51,326.21,12.35,,,,,,10754
10779,62,4,-5.56,-4.34,358.0,6.45,,,,,,10779
10781,659,102,4.05,5.94,360.31,15.48,,,,,,10781
10785,349,57,3.73,7.36,431.91,16.33,,,,,,10785
10792,1587,194,-0.43,4.91,569.68,12.22,,,,,,10792
10800,1767,189,-0.77,3.51,457.81,10.7,,,,,,10800
10821,8020,889,-1.78,4.92,752.4,11.08,,,,,,10821
10849,335,27,-5.44,1.51,586.21,8.06,,,,,,10849
10868,434,58,0.62,4.89,482.54,13.36,,,,,,10868
10874,490,60,1.02,7.26,534.74,12.24,,,,,,10874
10918,53,3,3.68,-5.02,221.0,5.66,,,,,,10918
10926,62,9,2.45,0.35,186.5,14.52,,,,,,10926
10980,416,52,-0.02,5.27,267.43,12.5,,,,,,10980
