SCHEDULED_DEP_HOUR,nb_vols,nb_retards,retard_moyen_arrivee,retard_moyen_depart,distance_moyenne,taux_retard_percent
0,14664,2313,0.8,7.14,1597.42,15.77
1,5159,956,3.84,8.01,1610.26,18.53
2,1414,237,1.78,7.12,1398.64,16.76
3,778,136,1.7,8.79,1241.44,17.48
4,531,106,3.66,10.28,1274.81,19.96
5,118051,8403,-3.7,1.86,679.58,7.12
6,406940,35995,-2.55,2.07,776.98,8.85
7,393947,43478,-1.48,3.21,896.19,11.04
8,381014,48353,-0.19,4.62,898.28,12.69
9,351403,49113,0.95,5.61,876.67,13.98
10,371644,56461,2.13,6.81,808.52,15.19
11,358084,57861,2.83,7.69,820.42,16.16
12,355611,61499,3.74,8.84,788.75,17.29
13,363509,68106,4.94,9.68,794.98,18.74
14,329715,67547,6.19,11.02,791.59,20.49
15,367760,77632,6.9,11.78,771.6,21.11
16,334153,75598,7.94,12.72,786.05,22.62
17,390362,93608,8.85,13.61,820.35,23.98
18,334380,84724,9.67,14.71,819.13,25.34
19,331338,85148,9.9,14.81,770.19,25.7
20,259432,66741,9.56,15.0,752.57,25.73
21,187467,44627,7.89,13.46,788.44,23.81
22,117551,26435,6.1,11.58,957.51,22.49
23,44172,8362,3.08,9.43,1678.55,18.93
