AIRLINE,ORIGIN_AIRPORT,SCHEDULED_DEP_HOUR,DAY_PERIOD,nb_vols,nb_retards,retard_moyen_arrivee,retard_moyen_depart,distance_moyenne,taux_retard_percent,risk_score,impact_score
UA,ORD,19,Soir,5875,1956,17.31,26.31,1113.22,33.29,288.91,33858.36
UA,IAH,19,Soir,6584,2117,15.73,23.32,981.93,32.15,282.68,33300.41
UA,ORD,17,Soir,5414,1702,17.86,24.55,845.39,31.44,270.29,30397.72
WN,BWI,20,Soir,5793,1894,14.98,21.93,676.0,32.69,283.25,28372.12
UA,ORD,18,Soir,3169,1199,22.01,29.0,910.18,37.84,305.05,26389.99
WN,LAS,20,Soir,3806,1423,18.02,22.9,545.05,37.39,308.27,25642.46
WN,BWI,22,Nuit,4544,1627,15.03,19.66,357.96,35.81,301.58,24453.81
WN,MDW,19,Soir,6649,2037,11.08,19.34,1045.3,30.64,269.7,22569.96
AA,DFW,18,Soir,12860,3079,7.1,15.44,911.31,23.94,226.52,21860.9
WN,BWI,18,Soir,3497,1259,16.79,23.64,817.28,36.0,293.76,21138.61
WN,LAS,19,Soir,4420,1421,14.04,19.38,686.72,32.15,269.87,19950.84
UA,ORD,20,Soir,3399,1133,17.31,27.87,888.21,33.33,271.02,19612.23
WN,DAL,18,Soir,3576,1190,16.45,20.81,663.35,33.28,272.31,19575.5
AA,MIA,21,Soir,5711,1701,11.49,18.71,1040.57,29.78,257.61,19544.49
UA,IAH,17,Soir,4463,1312,14.81,23.78,1242.87,29.4,247.07,19430.72
UA,EWR,19,Soir,3536,1204,16.08,32.64,1636.29,34.05,278.22,19360.32
UA,IAD,17,Soir,4054,1273,15.13,20.89,1450.71,31.4,260.86,19260.49
WN,PHX,19,Soir,3837,1283,14.48,20.45,829.77,33.44,275.97,18577.84
WN,LAS,18,Soir,4070,1304,14.2,19.59,815.75,32.04,266.31,18516.8
WN,BWI,17,Soir,3315,1139,16.15,22.25,706.85,34.36,278.54,18394.85
WN,HOU,20,Soir,3565,1191,15.28,19.79,743.02,33.41,273.27,18198.48
WN,LAS,17,Soir,4352,1365,13.24,19.29,996.25,31.36,262.75,18072.6
OO,DEN,18,Soir,4888,1381,13.08,14.41,611.16,28.25,239.98,18063.48
WN,LAS,16,Apres-midi,4447,1374,13.01,19.62,1125.37,30.9,259.57,17875.74
B6,JFK,22,Nuit,2374,887,19.97,22.44,390.73,37.36,290.39,17713.39
WN,BWI,16,Apres-midi,4297,1330,13.29,18.57,720.98,30.95,258.92,17675.7
WN,DAL,21,Soir,2340,914,19.29,23.29,456.97,39.06,303.04,17631.06
OO,SFO,10,Matin,3925,1164,15.01,15.79,664.16,29.66,245.45,17471.64
WN,DEN,18,Soir,4809,1413,12.28,19.59,1198.3,29.38,249.1,17351.64
WN,DAL,20,Soir,2831,986,17.45,22.91,654.24,34.83,276.85,17205.7
WN,MDW,17,Soir,4236,1252,13.48,20.14,775.7,29.56,246.87,16876.96
WN,MDW,21,Soir,5535,1504,11.22,16.89,596.23,27.17,234.18,16874.88
WN,LAX,19,Soir,2552,921,18.28,24.26,824.78,36.09,283.13,16835.88
DL,ATL,20,Soir,13906,2799,5.99,13.09,651.88,20.13,192.04,16766.01
UA,EWR,20,Soir,2996,1042,16.04,31.45,1376.77,34.78,278.43,16713.68
AA,DFW,20,Soir,11318,2599,6.39,15.05,883.3,22.96,214.31,16607.61
WN,MDW,20,Soir,3653,1173,14.02,20.69,879.45,32.11,263.42,16445.46
WN,LAX,20,Soir,1776,737,22.3,26.04,440.44,41.5,310.53,16435.1
AA,MIA,14,Apres-midi,3934,1173,14.01,16.37,1190.76,29.82,246.84,16433.73
UA,DEN,11,Matin,7085,1750,9.38,17.56,1141.36,24.7,218.99,16415.0
UA,IAH,15,Apres-midi,4421,1204,13.59,21.38,1138.49,27.23,228.58,16362.36
OO,ORD,19,Soir,2639,896,18.14,19.54,601.31,33.95,267.48,16253.44
NK,FLL,21,Soir,1810,707,22.97,25.86,1140.75,39.06,293.01,16239.79
UA,ORD,15,Apres-midi,3272,1037,15.63,23.1,1171.89,31.69,256.48,16208.31
WN,PHX,18,Soir,3312,1110,14.56,19.26,757.88,33.51,271.62,16161.6
AA,CLT,20,Soir,3571,1087,14.69,15.26,725.77,30.44,249.03,15968.03
AA,MIA,18,Soir,4008,1241,12.85,17.87,1240.38,30.96,256.85,15946.85
MQ,DFW,20,Soir,5698,1481,10.6,14.6,554.88,25.99,224.76,15698.6
B6,BOS,19,Soir,2917,1029,15.23,18.87,1247.87,35.28,281.49,15671.67
EV,DFW,18,Soir,2377,779,20.04,23.38,561.09,32.77,254.75,15611.16
EV,IAH,19,Soir,7009,1646,9.48,9.43,577.49,23.48,207.92,15604.08
B6,JFK,21,Soir,2287,831,18.74,26.92,1239.36,36.34,281.11,15572.94
NK,ORD,21,Soir,925,465,33.13,36.52,964.49,50.27,343.39,15405.45
B6,MCO,19,Soir,1327,574,26.77,28.87,977.35,43.26,311.1,15365.98
WN,DAL,19,Soir,2851,965,15.91,20.97,682.7,33.85,269.3,15353.15
EV,ORD,19,Soir,4153,1178,13.03,14.45,512.74,28.37,236.37,15349.34
WN,LAS,14,Apres-midi,4253,1227,12.33,17.76,903.91,28.85,241.06,15128.91
OO,DEN,19,Soir,4730,1277,11.84,13.36,557.77,27.0,228.47,15119.68
WN,LAS,15,Apres-midi,4381,1275,11.8,17.18,784.32,29.1,244.01,15045.0
