MONTH,SCHEDULED_DEP_HOUR,nb_vols,nb_retards,retard_moyen_arrivee,retard_moyen_depart,distance_moyenne,taux_retard_percent
1,0,738,100,0.22,3.19,1572.86,13.55
1,1,546,110,5.46,7.62,1619.96,20.15
1,2,148,28,12.38,14.21,1314.05,18.92
1,3,39,12,15.18,21.21,1411.23,30.77
1,4,99,22,5.23,7.61,1197.85,22.22
1,5,6185,633,-1.44,2.55,621.17,10.23
1,6,33090,3779,-1.06,2.34,740.07,11.42
1,7,30157,4042,0.1,3.4,864.76,13.4
1,8,32928,5265,1.96,5.55,903.57,15.99
1,9,29468,4894,2.49,6.02,855.57,16.61
1,10,29957,5651,4.47,7.98,788.31,18.86
1,11,30855,5900,4.68,8.52,800.06,19.12
1,12,28742,5639,5.26,9.74,771.77,19.62
1,13,31737,6791,7.23,10.94,795.05,21.4
1,14,28450,6497,7.75,11.62,789.41,22.84
1,15,29871,6903,8.06,12.25,758.23,23.11
1,16,28372,6786,8.55,12.92,792.8,23.92
1,17,32837,8248,8.95,13.08,804.26,25.12
1,18,26898,7231,10.55,14.45,793.49,26.88
1,19,26718,7099,10.18,14.05,738.51,26.57
1,20,19369,5077,9.76,13.95,670.01,26.21
1,21,13603,3412,8.41,12.94,744.45,25.08
1,22,6290,1312,5.12,8.67,1012.91,20.86
1,23,2871,520,2.15,7.2,1895.99,18.11
2,0,695,99,0.55,5.98,1602.86,14.24
2,1,486,103,4.94,8.86,1617.34,21.19
2,2,99,24,19.05,17.68,1237.12,24.24
2,3,38,12,23.95,25.95,1625.5,31.58
2,4,67,11,1.37,2.04,1123.9,16.42
2,5,5812,666,0.55,4.55,628.02,11.46
2,6,30686,3827,0.85,4.13,744.81,12.47
2,7,27644,4185,2.04,4.88,855.53,15.14
2,8,29775,4965,3.57,7.02,901.71,16.68
2,9,26658,4926,5.21,8.31,845.67,18.48
2,10,27626,5608,6.85,9.9,789.71,20.3
2,11,27732,5885,7.36,10.67,798.18,21.22
2,12,26067,5756,8.08,11.82,777.25,22.08
2,13,28786,6636,9.19,12.75,787.86,23.05
2,14,25807,6350,9.94,13.31,788.06,24.61
2,15,27238,6952,11.11,14.58,755.88,25.52
2,16,25915,6779,11.14,14.76,789.14,26.16
2,17,30211,8199,11.36,14.9,808.63,27.14
2,18,24609,7091,12.59,15.73,789.64,28.81
2,19,24559,7083,12.7,16.05,737.23,28.84
2,20,17772,5006,11.98,15.76,676.32,28.17
2,21,12417,3263,9.5,13.59,735.12,26.28
2,22,5957,1287,6.44,10.41,967.19,21.6
2,23,2535,466,2.0,9.07,1908.6,18.38
3,0,1248,247,3.47,6.24,1637.7,19.79
3,1,489,105,5.46,7.64,1577.29,21.47
3,2,96,12,0.25,4.15,1377.46,12.5
3,3,66,7,-1.23,4.17,1176.97,10.61
3,4,62,8,2.35,12.34,1124.68,12.9
3,5,9051,671,-3.94,1.69,646.82,7.41
3,6,36330,3511,-2.26,2.29,770.75,9.66
3,7,33360,4038,-0.55,3.62,865.85,12.1
3,8,33368,4714,1.16,5.2,900.97,14.13
3,9,29426,4668,2.45,6.66,853.08,15.86
3,10,31963,5423,3.21,7.44,794.32,16.97
3,11,30871,5512,4.33,9.09,818.16,17.85
3,12,29582,5531,4.92,9.61,795.22,18.7
3,13,33214,6636,6.07,10.48,786.93,19.98
3,14,27825,5971,7.06,11.82,800.91,21.46
3,15,31136,6630,6.98,11.91,765.99,21.29
3,16,29484,6667,8.05,12.84,785.75,22.61
3,17,34520,8103,8.4,13.06,814.34,23.47
3,18,28440,7082,9.19,13.91,817.26,24.9
3,19,30154,7575,9.14,14.04,782.89,25.12
3,20,22695,5711,9.03,14.14,743.69,25.16
3,21,17792,3974,6.66,12.47,767.64,22.34
3,22,9927,2004,4.05,9.46,976.15,20.19
3,23,3213,652,4.55,10.28,1788.82,20.29
4,0,1114,140,-2.58,3.87,1620.74,12.57
4,1,522,93,4.53,9.24,1614.93,17.82
4,2,74,14,2.51,2.55,1407.72,18.92
4,3,87,11,-5.01,2.17,1175.09,12.64
4,4,30,5,-0.23,3.9,1046.0,16.67
4,5,10792,764,-3.98,0.66,691.0,7.08
4,6,33733,2789,-2.69,1.0,763.51,8.27
4,7,33673,3838,-1.01,2.7,888.21,11.4
4,8,31278,3816,-0.3,3.75,886.76,12.2
4,9,28389,3741,0.7,4.9,876.04,13.18
4,10,31114,4555,1.81,6.23,790.53,14.64
4,11,28996,4299,1.78,6.56,839.88,14.83
4,12,30218,4826,2.66,7.67,773.61,15.97
4,13,30121,5108,3.44,8.05,807.25,16.96
4,14,26206,4585,3.4,8.12,782.03,17.5
4,15,30709,5837,4.93,9.88,765.94,19.01
4,16,28130,5806,5.84,10.33,776.14,20.64
4,17,32258,7145,6.66,10.93,812.21,22.15
4,18,28030,6666,7.69,12.36,819.84,23.78
4,19,27610,6546,8.03,12.44,783.57,23.71
4,20,21999,5344,7.82,12.93,751.07,24.29
4,21,16551,3644,6.29,12.06,769.75,22.02
4,22,10583,2204,4.57,10.01,937.84,20.83
4,23,2934,471,0.2,6.15,1794.54,16.05
5,0,1208,202,3.66,7.97,1611.31,16.72
5,1,516,85,2.82,5.25,1635.83,16.47
5,2,111,15,-2.5,-0.53,1439.64,13.51
5,3,60,5,-8.32,0.7,1114.18,8.33
5,5,10626,737,-2.71,2.4,685.61,6.94
5,6,34290,2672,-3.17,1.64,783.36,7.79
5,7,34402,3550,-1.88,2.87,895.36,10.32
5,8,31668,3550,-0.99,3.86,889.23,11.21
5,9,29102,3548,-0.31,4.65,889.95,12.19
5,10,32574,4448,0.96,5.86,797.59,13.66
