MONTH,nb_vols,nb_retards,retard_moyen_arrivee,retard_moyen_depart,distance_moyenne,taux_retard_percent
1,469968,95951,5.65,9.52,803.26,20.42
2,429191,95179,7.9,11.33,800.79,22.18
3,504312,95452,4.8,9.46,816.06,18.93
4,485151,82247,3.12,7.65,817.01,16.95
5,496993,89645,4.42,9.35,823.32,18.04
6,503897,115742,9.39,13.74,835.63,22.97
7,520718,107627,6.35,11.3,841.48,20.67
8,510536,94113,4.55,9.84,834.82,18.43
9,464946,60061,-0.77,4.8,815.85,12.92
10,486165,60079,-0.78,4.96,816.44,12.36
11,467972,70571,1.09,6.88,820.25,15.08
12,479230,96772,5.97,11.59,837.8,20.19
