AIRLINE,ORIGIN_AIRPORT,SCHEDULED_DEP_HOUR,DAY_PERIOD,nb_vols,nb_retards,retard_moyen_arrivee,retard_moyen_depart,distance_moyenne,taux_retard_percent,risk_score,impact_score
F9,PHL,18,Soir,309,197,51.21,41.08,781.15,63.75,365.71,10088.37
NK,ORD,21,Soir,925,465,33.13,36.52,964.49,50.27,343.39,15405.45
NK,LAS,19,Soir,303,174,38.34,38.8,720.5,57.43,328.33,6671.16
NK,IAH,19,Soir,352,193,35.63,35.36,1038.59,54.83,321.66,6876.59
WN,LAX,21,Soir,1539,667,22.05,26.05,436.17,43.34,318.1,14707.35
NK,ORD,20,Soir,700,335,32.19,35.85,978.77,47.86,313.6,10783.65
B6,MCO,19,Soir,1327,574,26.77,28.87,977.35,43.26,311.1,15365.98
WN,LAX,20,Soir,1776,737,22.3,26.04,440.44,41.5,310.53,16435.1
WN,LAS,20,Soir,3806,1423,18.02,22.9,545.05,37.39,308.27,25642.46
NK,IAH,18,Soir,317,168,42.78,41.19,613.59,53.0,305.39,7187.04
UA,ORD,18,Soir,3169,1199,22.01,29.0,910.18,37.84,305.05,26389.99
WN,LAX,22,Nuit,846,382,22.0,27.66,427.92,45.15,304.39,8404.0
WN,DAL,21,Soir,2340,914,19.29,23.29,456.97,39.06,303.04,17631.06
WN,BWI,22,Nuit,4544,1627,15.03,19.66,357.96,35.81,301.58,24453.81
NK,BOS,17,Soir,334,173,31.03,33.26,1237.0,51.8,301.17,5368.19
NK,ORD,19,Soir,579,271,28.16,28.31,621.18,46.8,297.79,7631.36
NK,DTW,19,Soir,657,301,29.98,32.71,1391.83,45.81,297.27,9023.98
F9,MIA,21,Soir,349,177,33.58,33.13,1677.09,50.72,297.11,5943.66
WN,ATL,21,Soir,2119,822,17.26,25.24,747.61,38.79,297.1,14187.72
B6,FLL,20,Soir,1777,698,18.81,23.59,1025.43,39.28,293.94,13129.38
WN,BWI,18,Soir,3497,1259,16.79,23.64,817.28,36.0,293.76,21138.61
NK,ATL,16,Apres-midi,378,187,30.7,29.88,545.34,49.47,293.73,5740.9
B6,LGA,21,Soir,667,301,28.0,29.99,1012.91,45.13,293.54,8428.0
WN,HOU,22,Nuit,1501,602,19.76,23.49,604.63,40.11,293.39,11895.52
NK,FLL,21,Soir,1810,707,22.97,25.86,1140.75,39.06,293.01,16239.79
NK,LAX,21,Soir,329,166,35.68,36.55,2141.44,50.46,292.62,5922.88
NK,IAH,17,Soir,350,174,39.71,40.34,579.73,49.71,291.34,6909.54
B6,LGA,19,Soir,667,298,26.43,31.76,1055.47,44.68,290.61,7876.14
B6,JFK,22,Nuit,2374,887,19.97,22.44,390.73,37.36,290.39,17713.39
B6,PBI,18,Soir,318,160,33.85,35.9,1048.78,50.31,290.05,5416.0
NK,MSP,18,Soir,421,202,32.08,29.36,514.87,47.98,290.04,6480.16
NK,LAX,8,Matin,355,175,30.83,27.9,1526.05,49.3,289.63,5395.25
UA,ORD,19,Soir,5875,1956,17.31,26.31,1113.22,33.29,288.91,33858.36
NK,ATL,18,Soir,406,194,33.92,36.26,665.61,47.78,287.1,6580.48
NK,ORD,9,Matin,897,378,21.11,20.85,748.34,42.14,286.56,7979.58
B6,MCO,20,Soir,1297,514,23.44,25.99,1153.98,39.63,284.09,12048.16
B6,PBI,19,Soir,626,276,26.43,31.66,1102.85,44.09,283.98,7294.68
B6,MCO,18,Soir,1032,422,28.6,31.86,1063.05,40.89,283.79,12069.2
NK,ORD,17,Soir,670,292,25.14,28.56,1166.76,43.58,283.65,7340.88
WN,BWI,20,Soir,5793,1894,14.98,21.93,676.0,32.69,283.25,28372.12
WN,LAX,19,Soir,2552,921,18.28,24.26,824.78,36.09,283.13,16835.88
UA,IAH,19,Soir,6584,2117,15.73,23.32,981.93,32.15,282.68,33300.41
MQ,LGA,18,Soir,639,279,24.7,22.29,691.01,43.66,282.11,6891.3
WN,PHX,20,Soir,2878,1018,13.97,19.1,615.1,35.37,281.73,14221.46
B6,BOS,19,Soir,2917,1029,15.23,18.87,1247.87,35.28,281.49,15671.67
B6,JFK,21,Soir,2287,831,18.74,26.92,1239.36,36.34,281.11,15572.94
F9,MCO,18,Soir,419,195,30.55,26.26,1045.8,46.54,281.11,5957.25
B6,LGA,15,Apres-midi,333,160,31.38,35.34,1022.89,48.05,279.23,5020.8
WN,BWI,17,Soir,3315,1139,16.15,22.25,706.85,34.36,278.54,18394.85
UA,EWR,20,Soir,2996,1042,16.04,31.45,1376.77,34.78,278.43,16713.68
UA,EWR,19,Soir,3536,1204,16.08,32.64,1636.29,34.05,278.22,19360.32
F9,ORD,20,Soir,351,166,32.02,29.93,1545.95,47.29,277.29,5315.32
WN,DAL,20,Soir,2831,986,17.45,22.91,654.24,34.83,276.85,17205.7
WN,BWI,21,Soir,2458,871,16.24,23.85,699.35,35.44,276.7,14145.04
WN,PHX,19,Soir,3837,1283,14.48,20.45,829.77,33.44,275.97,18577.84
WN,LAX,16,Apres-midi,1870,684,17.07,21.39,678.04,36.58,275.6,11675.88
MQ,ORD,19,Soir,1512,565,22.88,21.17,357.21,37.37,273.62,12927.2
WN,LAX,18,Soir,2233,792,17.88,22.46,749.47,35.47,273.53,14160.96
WN,HOU,20,Soir,3565,1191,15.28,19.79,743.02,33.41,273.27,18198.48
DL,ORD,17,Soir,301,144,25.64,23.84,344.84,47.84,273.19,3692.16
WN,PHX,21,Soir,2150,763,14.85,21.47,531.75,35.49,272.34,11330.55
WN,DAL,18,Soir,3576,1190,16.45,20.81,663.35,33.28,272.31,19575.5
WN,PHX,18,Soir,3312,1110,14.56,19.26,757.88,33.51,271.62,16161.6
UA,ORD,20,Soir,3399,1133,17.31,27.87,888.21,33.33,271.02,19612.23
UA,ORD,17,Soir,5414,1702,17.86,24.55,845.39,31.44,270.29,30397.72
WN,LAS,22,Nuit,1225,465,16.37,20.23,351.98,37.96,269.95,7612.05
WN,LAS,19,Soir,4420,1421,14.04,19.38,686.72,32.15,269.87,19950.84
WN,MDW,19,Soir,6649,2037,11.08,19.34,1045.3,30.64,269.7,22569.96
NK,MSP,6,Matin,332,154,31.2,25.48,334.0,46.39,269.44,4804.8
VX,DAL,19,Soir,390,176,28.53,28.32,1289.15,45.13,269.37,5021.28
WN,DAL,19,Soir,2851,965,15.91,20.97,682.7,33.85,269.3,15353.15
MQ,LGA,19,Soir,974,381,17.79,22.17,742.82,39.12,269.24,6777.99
B6,PBI,20,Soir,550,234,26.81,30.05,1084.15,42.55,268.56,6273.54
OO,ORD,19,Soir,2639,896,18.14,19.54,601.31,33.95,267.48,16253.44
WN,LAX,17,Soir,1943,685,15.39,19.25,749.75,35.25,266.93,10542.15
F9,MCO,20,Soir,597,249,25.16,25.11,1154.29,41.71,266.68,6264.84
WN,LAS,18,Soir,4070,1304,14.2,19.59,815.75,32.04,266.31,18516.8
WN,OAK,19,Soir,2534,857,14.99,18.47,517.52,33.82,265.08,12846.43
WN,HOU,19,Soir,2065,714,15.68,20.33,799.56,34.58,263.96,11195.52
B6,PBI,17,Soir,395,174,27.51,31.87,1057.92,44.05,263.48,4786.74
WN,MDW,20,Soir,3653,1173,14.02,20.69,879.45,32.11,263.42,16445.46
WN,STL,19,Soir,2307,783,15.01,20.54,712.42,33.94,262.84,11752.83
F9,DEN,20,Soir,1823,638,16.92,16.59,775.47,35.0,262.81,10794.96
WN,LAS,17,Soir,4352,1365,13.24,19.29,996.25,31.36,262.75,18072.6
F9,ATL,16,Apres-midi,491,208,27.16,23.33,524.29,42.36,262.57,5649.28
WN,OAK,16,Apres-midi,1412,511,16.42,19.33,496.76,36.19,262.5,8390.62
B6,TPA,19,Soir,497,210,30.21,35.1,1023.82,42.25,262.4,6344.1
WN,SJC,20,Soir,1575,561,17.44,20.18,464.55,35.62,262.26,9783.84
NK,LAS,0,Nuit,904,348,21.83,23.71,1248.15,38.5,262.11,7596.84
WN,OAK,20,Soir,2068,707,15.75,18.69,466.88,34.19,261.03,11135.25
UA,IAD,17,Soir,4054,1273,15.13,20.89,1450.71,31.4,260.86,19260.49
UA,EWR,18,Soir,2297,771,15.62,28.87,1597.27,33.57,259.82,12043.02
WN,LAS,16,Apres-midi,4447,1374,13.01,19.62,1125.37,30.9,259.57,17875.74
WN,PHX,22,Nuit,750,294,18.06,27.61,457.12,39.2,259.56,5309.64
WN,ATL,20,Soir,3429,1093,11.4,20.63,712.01,31.88,259.51,12460.2
WN,OAK,18,Soir,1650,577,18.06,20.15,491.05,34.97,259.1,10420.62
WN,BWI,16,Apres-midi,4297,1330,13.29,18.57,720.98,30.95,258.92,17675.7
WN,DEN,17,Soir,3089,995,12.63,18.57,1111.05,32.21,258.84,12566.85
WN,BWI,19,Soir,2634,865,15.44,22.33,798.14,32.84,258.67,13355.6
WN,DEN,22,Nuit,2835,921,13.14,18.83,749.33,32.49,258.3,12101.94
F9,LGA,17,Soir,331,147,29.68,26.85,1096.0,44.41,257.81,4362.96
NK,LGA,19,Soir,334,148,25.11,26.91,1076.0,44.31,257.62,3716.28
AA,MIA,21,Soir,5711,1701,11.49,18.71,1040.57,29.78,257.61,19544.49
B6,EWR,21,Soir,625,250,23.95,27.89,661.71,40.0,257.57,5987.5
NK,ORD,13,Apres-midi,410,175,23.66,26.87,664.38,42.68,256.87,4140.5
AA,MIA,18,Soir,4008,1241,12.85,17.87,1240.38,30.96,256.85,15946.85
B6,HPN,18,Soir,333,147,31.87,34.17,1042.83,44.14,256.5,4684.89
UA,ORD,15,Apres-midi,3272,1037,15.63,23.1,1171.89,31.69,256.48,16208.31
NK,DTW,18,Soir,587,236,21.05,24.8,1103.12,40.2,256.34,4967.8
WN,HOU,18,Soir,3116,992,14.59,19.14,690.58,31.84,256.14,14473.28
EV,DFW,18,Soir,2377,779,20.04,23.38,561.09,32.77,254.75,15611.16
NK,MSP,11,Matin,432,181,22.91,21.98,770.27,41.9,254.36,4146.71
WN,ATL,22,Nuit,3326,1039,11.31,20.92,607.08,31.24,253.35,11751.09
WN,STL,20,Soir,1922,643,14.22,20.95,653.16,33.45,252.94,9143.46
WN,HOU,21,Soir,2494,806,13.29,18.08,634.56,32.32,252.81,10711.74
WN,MCO,18,Soir,2257,738,17.03,22.91,925.77,32.7,252.52,12568.14
B6,PBI,12,Apres-midi,506,205,21.5,23.89,1039.5,40.51,252.32,4407.5
B6,BOS,20,Soir,2295,748,14.99,17.52,1183.29,32.59,252.21,11212.52
B6,LGA,14,Apres-midi,454,187,24.14,26.77,1060.9,41.19,252.1,4514.18
WN,OAK,15,Apres-midi,1937,645,14.45,16.9,601.1,33.3,252.06,9320.25
F9,ATL,15,Apres-midi,452,186,30.41,26.6,856.0,41.15,251.67,5656.26
WN,LAX,13,Apres-midi,2407,775,11.75,15.14,871.86,32.2,250.73,9106.25
NK,DTW,15,Apres-midi,903,332,21.52,25.39,779.59,36.77,250.29,7144.64
WN,DEN,19,Soir,2611,827,13.14,18.77,858.28,31.67,249.18,10866.78
WN,DEN,18,Soir,4809,1413,12.28,19.59,1198.3,29.38,249.1,17351.64
AA,CLT,20,Soir,3571,1087,14.69,15.26,725.77,30.44,249.03,15968.03
