ORIGIN_AIRPORT,DESTINATION_AIRPORT,nb_vols,nb_retards,retard_moyen_arrivee,retard_moyen_depart,distance_moyenne,taux_retard_percent,impact_score
SFO,LAX,13744,3636,11.15,12.29,337.0,26.46,40541.4
LAX,SFO,13457,3423,10.46,13.71,337.0,25.44,35804.58
LAS,LAX,9715,2706,11.9,11.26,236.0,27.85,32201.4
ORD,LGA,9575,2353,9.78,15.47,733.0,24.57,23012.34
JFK,LAX,12016,2171,-2.64,7.88,2475.0,18.07,0.0
LAX,LAS,9594,2147,8.59,11.11,236.0,22.38,18442.73
LAX,JFK,12015,2138,0.61,10.59,2475.0,17.79,1304.18
ORD,LAX,7941,2121,8.2,16.86,1744.0,26.71,17392.2
ORD,SFO,7378,1978,9.13,19.06,1846.0,26.81,18059.14
LGA,ORD,9639,1952,3.59,11.73,733.0,20.25,7007.68
LAS,SFO,7870,1931,9.7,15.81,414.0,24.54,18730.7
ATL,LGA,8234,1906,7.68,13.93,762.0,23.15,14638.08
ORD,DFW,7677,1876,8.68,17.27,802.0,24.44,16283.68
PHX,LAX,7380,1825,8.68,10.1,370.0,24.73,15841.0
ORD,MSP,6361,1811,13.71,17.52,334.0,28.47,24828.81
ORD,DEN,5613,1780,17.83,21.99,888.0,31.71,31737.4
LAX,PHX,7330,1764,9.31,11.24,370.0,24.07,16422.84
OAK,LAX,6281,1749,11.98,10.96,337.0,27.85,20953.02
SJC,LAX,6339,1743,11.82,10.25,308.0,27.5,20602.26
DFW,ORD,7870,1718,6.78,12.89,802.0,21.83,11648.04
LGA,ATL,8215,1662,2.91,14.39,762.0,20.23,4836.42
JFK,SFO,8437,1656,-0.55,9.81,2586.0,19.63,0.0
MIA,LGA,6318,1628,8.6,13.05,1096.0,25.77,14000.8
LGA,BOS,7100,1616,7.33,9.35,184.0,22.76,11845.28
LAX,ORD,8256,1613,3.6,11.39,1744.0,19.54,5806.8
BOS,LGA,7096,1604,8.95,9.31,184.0,22.6,14355.8
